Time,Record No,Azimuth,Pitch,Roll,Accel-X,Accel-Y,Accel-Z
08:35:54,0,-1.6495965,1.264573, 2.864666,0.13602059, -3.5133414, 8.8389435
08:35:54,1,-1.6495965,1.264573, 2.864666,0.13602059, -3.5133414, 8.8389435
08:35:54,2,-1.6495965,1.264573, 2.864666,0.13602059, -3.5133414, 8.8389435
08:35:54,3,-1.6495965,1.264573, 2.864666,0.13602059, -3.5133414, 8.8389435
08:35:54,4,-1.6495965,1.264573, 2.864666,0.13602059, -3.5133414, 8.8389435
08:35:54,5,-1.6495965,1.264573, 2.864666,0.13602059, -3.5133414, 8.8389435
08:35:54,6,1.5674806,1.2022623, -3.102978,0.13602059, -3.5133414, 8.8389435
08:35:54,7,1.5674806,1.2022623, -3.102978,0.04504092, -3.5995326, 8.910769
08:35:55,8,-1.9477195,1.1901921, -3.0962493,0.04504092, -3.5995326, 8.910769
08:35:55,9,-1.9477195,1.1901921, -3.0962493,0.08095395, -3.5492544, 8.958653
08:35:55,10,-1.9469621,1.1799846, -3.0971165,0.08095395, -3.5492544, 8.958653
08:35:55,11,-1.9469621,1.1799846, -3.0971165,-4.4891282E-4, -3.6019268, 8.822185
08:35:55,12,-1.9282422,1.1682681, -3.1170764,-4.4891282E-4, -3.6019268, 8.822185
08:35:55,13,-1.9282422,1.1682681, -3.1170764,-0.02439093, -3.733608, 8.788666
08:35:55,14,-1.8970593,1.1545159, -3.14058,-0.02439093, -3.733608, 8.788666
08:35:55,15,-1.8970593,1.1545159, -3.14058,-0.1249474, -3.9155672, 8.656984
08:35:55,16,-1.867873,1.1406008, 3.1286533,-0.1249474, -3.9155672, 8.656984
08:35:55,17,-1.867873,1.1406008, 3.1286533,-0.17283143, -4.3584948, 8.549245
08:35:55,18,-1.8698384,1.1270849, 3.1357481,-0.17283143, -4.3584948, 8.549245
08:35:55,19,-1.8698384,1.1270849, 3.1357481,-0.079457566, -4.4877815, 8.4008045
08:35:55,20,-1.9054457,1.1079944, -3.1082454,-0.079457566, -4.4877815, 8.4008045
08:35:55,21,-1.9054457,1.1079944, -3.1082454,0.34192193, -4.346524, 8.637831
08:35:55,22,-1.9567354,1.0990317, -3.0657258,0.34192193, -4.346524, 8.637831
08:35:55,23,-1.9567354,1.0990317, -3.0657258,0.37065235, -4.387225, 8.635437
08:35:55,24,-2.0074265,1.085865, -3.03071,0.37065235, -4.387225, 8.635437
08:35:55,25,-2.0074265,1.085865, -3.03071,0.6100725, -4.5931263, 8.589947
08:35:55,26,-2.0297215,1.078755, -3.0150242,0.6100725, -4.5931263, 8.589947
08:35:55,27,-2.0297215,1.078755, -3.0150242,0.6076783, -4.3704658, 8.48939
08:35:55,28,-2.0581095,1.069005, -2.9955196,0.6076783, -4.3704658, 8.48939
08:35:55,29,-2.0581095,1.069005, -2.9955196,0.8111855, -4.6649523, 8.570793
08:35:55,30,-2.0710385,1.0638106, -2.983368,0.8111855, -4.6649523, 8.570793
08:35:55,31,-2.0710385,1.0638106, -2.983368,0.65795654, -4.49257, 8.501361
08:35:55,32,-2.0721436,1.062681, -2.9778807,0.65795654, -4.49257, 8.501361
08:35:55,33,-2.0721436,1.062681, -2.9778807,0.7058406, -4.576367, 8.486996
08:35:55,34,-2.0707357,1.061596, -2.9767344,0.7058406, -4.576367, 8.486996
08:35:55,35,-2.0707357,1.061596, -2.9767344,0.63640875, -4.5380597, 8.302643
08:35:56,36,-2.0680022,1.0581235, -2.9731731,0.63640875, -4.5380597, 8.302643
08:35:56,37,-2.0680022,1.0581235, -2.9731731,0.9069535, -4.7032595, 8.381651
08:35:56,38,-2.0780919,1.0528262, -2.9625907,0.9069535, -4.7032595, 8.381651
08:35:56,39,-2.0780919,1.0528262, -2.9625907,0.8447043, -4.5979147, 8.386439
08:35:56,40,-2.0819106,1.0506512, -2.959524,0.8447043, -4.5979147, 8.386439
08:35:56,41,-2.0819106,1.0506512, -2.959524,0.75372463, -4.5332713, 8.441506
08:35:56,42,-2.073359,1.0514158, -2.9665303,0.75372463, -4.5332713, 8.441506
08:35:56,43,-2.073359,1.0514158, -2.9665303,0.73935944, -4.5691843, 8.434323
08:35:56,44,-2.0571313,1.0523934, -2.9772382,0.73935944, -4.5691843, 8.434323
08:35:56,45,-2.0571313,1.0523934, -2.9772382,0.76808983, -4.5691843, 8.479814
08:35:56,46,-2.0476592,1.0550746, -2.9832497,0.76808983, -4.5691843, 8.479814
08:35:56,47,-2.0476592,1.0550746, -2.9832497,0.6076783, -4.734384, 8.34095
08:35:56,48,-2.0350626,1.0548184, -2.9932775,0.6076783, -4.734384, 8.34095
08:35:56,49,-2.0350626,1.0548184, -2.9932775,0.6028899, -4.4758105, 8.467842
08:35:56,50,-2.0324357,1.0573839, -2.9976296,0.6028899, -4.4758105, 8.467842
08:35:56,51,-2.0324357,1.0573839, -2.9976296,0.61725515, -4.648193, 8.479814
