Time,Record No,Azimuth,Pitch,Roll,Accel-X,Accel-Y,Accel-Z
08:35:18,0,-2.109244,1.4591781, 2.8865013,-1.0515034, -2.1294928, 8.992172
08:35:18,1,-2.109244,1.4591781, 2.8865013,-1.0515034, -2.1294928, 8.992172
08:35:18,2,-2.109244,1.4591781, 2.8865013,-1.0515034, -2.1294928, 8.992172
08:35:18,3,-2.109244,1.4591781, 2.8865013,-1.0515034, -2.1294928, 8.992172
08:35:18,4,-2.109244,1.4591781, 2.8865013,-1.0515034, -2.1294928, 8.992172
08:35:18,5,-2.109244,1.4591781, 2.8865013,-1.0515034, -2.1294928, 8.992172
08:35:18,6,-1.2135113,1.4405464, 2.261154,-1.0515034, -2.1294928, 8.992172
08:35:18,7,-1.2135113,1.4405464, 2.261154,0.11447277, -3.1757588, 9.090335
08:35:18,8,-1.3613728,1.435493, 2.4047337,0.11447277, -3.1757588, 9.090335
08:35:18,9,-1.3613728,1.435493, 2.4047337,0.25333646, -3.1566052, 8.994567
08:35:18,10,-1.4612631,1.4196259, 2.4969587,0.25333646, -3.1566052, 8.994567
08:35:18,11,-1.4612631,1.4196259, 2.4969587,-0.18001404, -3.3744776, 9.157372
08:35:18,12,-1.53054,1.4019805, 2.5598783,-0.18001404, -3.3744776, 9.157372
08:35:18,13,-1.53054,1.4019805, 2.5598783,-0.1297358, -2.9722517, 9.030479
08:35:18,14,-1.6101717,1.3819644, 2.6346886,-0.1297358, -2.9722517, 9.030479
08:35:19,15,-1.6101717,1.3819644, 2.6346886,-0.012419921, -3.1494226, 9.36088
08:35:19,16,-1.6536949,1.371941, 2.675926,-0.012419921, -3.1494226, 9.36088
08:35:19,17,-1.6536949,1.371941, 2.675926,-0.115370594, -2.8716953, 9.0616045
08:35:19,18,-1.7133137,1.3578485, 2.7337172,-0.115370594, -2.8716953, 9.0616045
08:35:19,19,-1.7133137,1.3578485, 2.7337172,-0.30451253, -3.295469, 8.882039
08:35:19,20,-1.751506,1.3392891, 2.770767,-0.30451253, -3.295469, 8.882039
08:35:19,21,-1.751506,1.3392891, 2.770767,-0.06748656, -3.4822168, 9.128642
08:35:19,22,-1.8056618,1.3197267, 2.8225954,-0.06748656, -3.4822168, 9.128642
08:35:19,23,-1.8056618,1.3197267, 2.8225954,-0.014814123, -3.2499793, 9.008932
08:35:19,24,-1.8332089,1.3124146, 2.8488615,-0.014814123, -3.2499793, 9.008932
08:35:19,25,-1.8332089,1.3124146, 2.8488615,-0.17283143, -3.3146226, 8.973019
08:35:19,26,-1.8737855,1.299303, 2.8869233,-0.17283143, -3.3146226, 8.973019
